entity_id,chain,address,mintFunction,honeypot,ownershipRenounce,hiddenOwner,openSource,blacklist,raw_keys
gyen,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
gyen,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
husd,,,False,False,False,False,True,True,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
interest-protocol,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,False,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
inverse-finance-dola-stablecoin,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
liquity-usd,,,True,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
